Target Distance: 45, Step Size: 2
1: (x,y) = (1.69711,1.05822)
2: (x,y) = (2.77771,2.74116)
3: (x,y) = (2.01032,0.894242)
4: (x,y) = (3.51812,2.20821)
5: (x,y) = (3.15726,4.17539)
6: (x,y) = (2.84882,2.19932)
7: (x,y) = (2.28155,0.281452)
8: (x,y) = (4.27873,0.387619)
9: (x,y) = (4.74345,2.33288)
10: (x,y) = (5.52716,4.17293)
11: (x,y) = (3.52716,4.17287)
12: (x,y) = (2.85889,2.28782)
13: (x,y) = (2.79694,4.28686)
14: (x,y) = (4.79193,4.42837)
15: (x,y) = (2.81451,4.72806)
16: (x,y) = (4.76181,4.27196)
17: (x,y) = (2.76815,4.1128)
18: (x,y) = (1.59978,2.48956)
19: (x,y) = (2.94679,1.0112)
20: (x,y) = (4.7062,0.0601493)
21: (x,y) = (6.05321,-1.41821)
22: (x,y) = (4.31095,-2.40031)
23: (x,y) = (2.48149,-3.20844)
24: (x,y) = (0.599437,-3.88511)
25: (x,y) = (2.3754,-4.80486)
26: (x,y) = (4.3754,-4.80486)
27: (x,y) = (4.26046,-6.80155)
28: (x,y) = (6.08269,-5.97726)
29: (x,y) = (5.93242,-7.97161)
30: (x,y) = (5.97667,-9.97112)
31: (x,y) = (4.68279,-8.44604)
32: (x,y) = (4.85071,-6.4531)
33: (x,y) = (6.24921,-7.88285)
34: (x,y) = (5.71587,-5.95528)
35: (x,y) = (4.72607,-4.21738)
36: (x,y) = (3.31497,-2.80006)
37: (x,y) = (1.48551,-3.60819)
38: (x,y) = (3.21901,-2.61071)
39: (x,y) = (3.80323,-0.697942)
40: (x,y) = (4.48816,1.18112)
41: (x,y) = (6.25589,2.11661)
42: (x,y) = (8.25206,1.99283)
43: (x,y) = (6.25214,1.97513)
44: (x,y) = (7.93984,0.901979)
45: (x,y) = (6.93475,-0.827123)
46: (x,y) = (8.88205,-1.28323)
47: (x,y) = (10.7641,-1.95984)
48: (x,y) = (10.5961,0.0330952)
49: (x,y) = (12.5708,-0.284091)
50: (x,y) = (12.5973,1.71573)
51: (x,y) = (13.1647,-0.202115)
52: (x,y) = (13.0497,-2.19881)
53: (x,y) = (14.3835,-0.708542)
54: (x,y) = (13.4559,1.06331)
55: (x,y) = (15.2556,1.93564)
56: (x,y) = (16.8526,0.731637)
57: (x,y) = (18.8448,0.908435)
58: (x,y) = (20.3526,2.22241)
59: (x,y) = (18.9166,3.61452)
60: (x,y) = (19.749,1.79595)
61: (x,y) = (19.634,-0.200739)
62: (x,y) = (18.8666,-2.04766)
63: (x,y) = (18.6107,-4.03121)
64: (x,y) = (17.8925,-2.16459)
